CustomerID,Age,Qualification,Occupation,Marital Status,Home Mortgage,Personal Loan,Has Other Bank Account,Last Contact Direction,Last Contact Duration,Last Contact Month,Last Contact Weekday,Number of Current Campaign Calls,Number of Previous Campaign Calls,Previous Campaign Outcome,RBA Cash Rate,Employment Variation Rate,Consumer Confidence Index,Sale Outcome
CU807945,41,High School Certificate,Technicians and Trades,Married,Yes,Yes,No,Outbound,212.0,August,Monday,1,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU724793,31,Primary Education,Technicians and Trades,Divorced,No,No,No,Outbound,244.0,May,Tuesday,1,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU733937,59,High School Certificate,Retired,Single,No,Yes,No,Outbound,103.0,June,Tuesday,1,0.0,Nonexistent,4.864,1.4,94.465,No Sale
CU495908,31,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,239.0,May,Tuesday,4,0.0,Nonexistent,1.291,-1.8,92.893,No Sale
CU873725,29,Bachelor Degree Level or Higher,Technicians and Trades,Married,Yes,No,No,Inbound,896.0,July,Wednesday,2,0.0,Nonexistent,1.029,-2.9,92.469,Sale
CU759560,75,Primary Education,Retired,Married,No,No,No,Inbound,248.0,August,Wednesday,2,3.0,Sale,0.903,-1.7,94.027,Sale
CU211974,33,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,265.0,August,Thursday,1,3.0,Sale,0.899,-1.7,94.027,Sale
CU352918,42,Primary Education,Technicians and Trades,Married,Yes,No,No,Outbound,705.0,May,Tuesday,1,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU421968,50,Bachelor Degree Level or Higher,Manager,Married,No,No,No,Inbound,299.0,August,Friday,2,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU903071,40,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Outbound,498.0,June,Monday,2,0.0,Nonexistent,4.958,1.4,94.465,Sale
CU982565,54,Primary Education,Retired,Married,No,No,Yes,Outbound,1730.0,May,Wednesday,1,0.0,Nonexistent,4.857,1.1,93.994,Sale
CU394156,25,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,294.0,March,Friday,1,0.0,Nonexistent,1.531,-1.8,92.843,Sale
CU930077,44,Primary Education,Labourer,Married,No,No,Yes,Inbound,128.0,July,Thursday,2,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU693038,24,Bachelor Degree Level or Higher,Community and personal service,Single,No,No,No,Inbound,113.0,July,Thursday,6,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU677687,54,Bachelor Degree Level or Higher,Manager,Divorced,Yes,No,No,Outbound,49.0,May,Thursday,1,0.0,Nonexistent,4.86,1.1,93.994,No Sale
CU541116,37,Bachelor Degree Level or Higher,Manager,Married,No,Yes,No,Inbound,307.0,November,Wednesday,2,0.0,Nonexistent,4.12,-0.1,93.2,No Sale
CU723537,32,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,No,No,Inbound,253.0,June,Monday,1,0.0,Nonexistent,1.266,-2.9,92.963,Sale
CU719136,37,Bachelor Degree Level or Higher,Technicians and Trades,Single,Yes,No,No,Inbound,481.0,August,Tuesday,2,4.0,No Sale,0.899,-1.7,94.027,Sale
CU072990,56,Bachelor Degree Level or Higher,Manager,Married,No,Yes,No,Outbound,154.0,July,Wednesday,1,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU775239,27,High School Certificate,Community and personal service,Single,No,No,Yes,Outbound,280.0,May,Friday,1,0.0,Nonexistent,4.855,1.1,93.994,No Sale
CU455259,35,Primary Education,Labourer,Single,Yes,No,No,Inbound,134.0,May,Friday,2,0.0,Nonexistent,1.25,-1.8,92.893,No Sale
CU923540,43,Bachelor Degree Level or Higher,Technicians and Trades,Single,Yes,No,No,Outbound,54.0,July,Friday,7,0.0,Nonexistent,4.957,1.4,93.918,No Sale
CU239194,40,Primary Education,Labourer,Married,No,No,No,Inbound,71.0,November,Tuesday,1,0.0,Nonexistent,4.153,-0.1,93.2,No Sale
CU708715,45,High School Certificate,Labourer,Single,Yes,No,Yes,Inbound,8.0,May,Monday,7,0.0,Nonexistent,1.244,-1.8,92.893,No Sale
CU311779,30,Bachelor Degree Level or Higher,Technicians and Trades,Single,Yes,No,No,Inbound,96.0,August,Monday,2,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU847365,45,High School Certificate,Clerical and administrative,Married,Yes,Yes,No,Inbound,636.0,April,Friday,3,0.0,Nonexistent,1.405,-1.8,93.075,Sale
CU077416,41,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,No,No,Inbound,105.0,November,Tuesday,5,1.0,No Sale,4.153,-0.1,93.2,No Sale
CU284584,37,High School Certificate,Clerical and administrative,Married,Yes,Yes,No,Outbound,1089.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,Sale
CU024339,32,Graduate Diploma and Graduate Certificate,Clerical and administrative,Single,No,Yes,No,Outbound,213.0,June,Monday,1,0.0,Nonexistent,4.961,1.4,94.465,No Sale
CU194060,59,High School Certificate,Community and personal service,Single,Yes,No,No,Inbound,169.0,March,Friday,2,0.0,Nonexistent,0.636,-1.8,93.369,No Sale
CU539235,29,Bachelor Degree Level or Higher,Manager,Married,Yes,No,No,Inbound,75.0,August,Thursday,1,2.0,Sale,0.873,-2.9,92.201,No Sale
CU437695,40,Prefer not to say,Technicians and Trades,Single,Yes,No,No,Outbound,145.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU408306,40,Primary Education,Clerical and administrative,Divorced,Yes,No,No,Inbound,688.0,May,Thursday,2,0.0,Nonexistent,1.266,-1.8,92.893,Sale
CU258372,31,Primary Education,Labourer,Single,No,Yes,No,Inbound,85.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU589254,28,High School Certificate,Technicians and Trades,Married,No,No,No,Outbound,180.0,May,Tuesday,1,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU718723,39,Primary Education,Entrepreneur,Married,Yes,No,No,Inbound,265.0,September,Tuesday,2,1.0,Sale,0.819,-3.4,92.379,Sale
CU230091,47,Graduate Diploma and Graduate Certificate,Technicians and Trades,Divorced,Yes,No,No,Outbound,9.0,June,Thursday,1,0.0,Nonexistent,0.742,-1.7,94.055,No Sale
CU847242,29,Graduate Diploma and Graduate Certificate,Labourer,Married,No,No,No,Outbound,230.0,June,Wednesday,3,0.0,Nonexistent,4.962,1.4,94.465,No Sale
CU673438,29,Bachelor Degree Level or Higher,Unemployed,Married,Yes,No,No,Inbound,104.0,July,Thursday,2,0.0,Nonexistent,4.958,1.4,93.918,No Sale
CU461298,48,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,Yes,No,Inbound,89.0,November,Friday,1,1.0,No Sale,4.021,-0.1,93.2,No Sale
CU441890,31,Primary Education,Self-employed,Married,No,No,No,Inbound,315.0,May,Wednesday,1,1.0,No Sale,1.281,-1.8,92.893,No Sale
CU233605,35,High School Certificate,Clerical and administrative,Single,Yes,No,No,Outbound,541.0,May,Friday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU136000,43,High School Certificate,Community and personal service,Divorced,Yes,No,No,Inbound,55.0,May,Monday,1,0.0,Nonexistent,1.244,-1.8,92.893,No Sale
CU758575,37,Bachelor Degree Level or Higher,Clerical and administrative,Divorced,Unknown,Unknown,No,Outbound,128.0,May,Wednesday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU252603,55,Primary Education,Manager,Single,Yes,No,No,Outbound,58.0,June,Wednesday,3,0.0,Nonexistent,4.962,1.4,94.465,No Sale
CU844270,51,Primary Education,Labourer,Married,Yes,Yes,No,Outbound,136.0,May,Monday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU502374,44,Primary Education,Labourer,Married,No,No,No,Inbound,438.0,August,Wednesday,1,0.0,Nonexistent,4.967,1.4,93.444,No Sale
CU838786,26,High School Certificate,Clerical and administrative,Single,Unknown,Unknown,No,Inbound,347.0,November,Monday,1,0.0,Nonexistent,0.715,-3.4,92.649,Sale
CU025014,65,High School Certificate,Retired,Married,Yes,No,No,Inbound,201.0,October,Thursday,5,1.0,Sale,1.025,-1.1,94.601,No Sale
CU408052,57,Primary Education,Labourer,Married,No,No,Yes,Inbound,97.0,May,Wednesday,5,0.0,Nonexistent,1.281,-1.8,92.893,No Sale
CU620960,37,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,Yes,No,Inbound,161.0,March,Monday,2,0.0,Nonexistent,1.703,-1.8,92.843,No Sale
CU692396,26,Bachelor Degree Level or Higher,Manager,Single,Yes,No,No,Inbound,114.0,October,Tuesday,1,1.0,Sale,0.728,-3.4,92.431,No Sale
CU116823,38,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,No,No,Outbound,490.0,September,Tuesday,1,0.0,Nonexistent,0.819,-3.4,92.379,No Sale
CU749979,25,High School Certificate,Clerical and administrative,Married,No,No,No,Outbound,498.0,May,Friday,1,0.0,Nonexistent,4.855,1.1,93.994,No Sale
CU749038,29,Prefer not to say,Community and personal service,Married,Yes,Yes,No,Inbound,268.0,July,Wednesday,2,0.0,Nonexistent,4.957,1.4,93.918,No Sale
CU281292,28,High School Certificate,Entrepreneur,Single,Yes,No,No,Outbound,419.0,June,Monday,2,0.0,Nonexistent,4.961,1.4,94.465,No Sale
CU555228,29,Primary Education,Labourer,Married,No,No,No,Inbound,125.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU888004,54,Primary Education,Labourer,Married,No,No,No,Inbound,258.0,June,Friday,2,0.0,Nonexistent,1.268,-2.9,92.963,Sale
CU651244,39,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,Yes,No,Inbound,343.0,August,Friday,2,1.0,Sale,0.849,-2.9,92.201,Sale
CU238844,43,High School Certificate,Manager,Single,Yes,No,No,Inbound,149.0,November,Friday,1,0.0,Nonexistent,4.021,-0.1,93.2,No Sale
CU194214,43,Primary Education,Labourer,Married,Yes,No,Yes,Inbound,732.0,July,Thursday,2,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU632809,51,Primary Education,Labourer,Married,No,Yes,No,Inbound,325.0,June,Monday,1,1.0,Sale,0.754,-1.7,94.055,Sale
CU261747,30,High School Certificate,Clerical and administrative,Single,No,No,No,Inbound,698.0,May,Wednesday,2,1.0,No Sale,1.281,-1.8,92.893,Sale
CU699489,39,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,57.0,August,Monday,4,0.0,Nonexistent,4.965,1.4,93.444,No Sale
CU789307,56,Primary Education,Housekeeper,Married,No,No,No,Outbound,204.0,June,Wednesday,1,0.0,Nonexistent,4.864,1.4,94.465,No Sale
CU427449,35,High School Certificate,Clerical and administrative,Married,Yes,No,No,Inbound,159.0,May,Tuesday,3,0.0,Nonexistent,1.266,-1.8,92.893,No Sale
CU852591,23,High School Certificate,Student,Single,No,No,No,Inbound,370.0,July,Tuesday,1,1.0,No Sale,1.044,-2.9,92.469,Sale
CU649227,35,Primary Education,Labourer,Married,Yes,No,No,Outbound,180.0,May,Wednesday,1,0.0,Nonexistent,4.858,1.1,93.994,No Sale
CU000604,34,High School Certificate,Unemployed,Single,Yes,No,No,Inbound,1970.0,May,Wednesday,3,0.0,Nonexistent,1.281,-1.8,92.893,Sale
CU630575,44,High School Certificate,Community and personal service,Married,No,No,Yes,Inbound,374.0,July,Thursday,1,0.0,Nonexistent,4.968,1.4,93.918,No Sale
CU439831,44,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,254.0,August,Thursday,2,0.0,Nonexistent,0.883,-2.9,92.201,Sale
CU857785,51,High School Certificate,Clerical and administrative,Divorced,Yes,Yes,No,Inbound,334.0,November,Tuesday,2,4.0,No Sale,1.049,-1.1,94.767,Sale
CU197263,41,Prefer not to say,Manager,Married,No,No,Yes,Outbound,448.0,May,Tuesday,1,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU626593,38,Graduate Diploma and Graduate Certificate,Technicians and Trades,Single,No,No,Yes,Inbound,519.0,November,Friday,1,0.0,Nonexistent,4.021,-0.1,93.2,No Sale
CU402838,30,High School Certificate,Technicians and Trades,Married,Yes,No,No,Outbound,436.0,June,Thursday,1,0.0,Nonexistent,4.958,1.4,94.465,No Sale
CU893792,45,Primary Education,Labourer,Married,Yes,No,Yes,Outbound,157.0,May,Wednesday,3,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU072318,29,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Inbound,146.0,May,Monday,2,0.0,Nonexistent,1.244,-1.8,92.893,No Sale
CU292292,33,Prefer not to say,Community and personal service,Divorced,No,No,No,Outbound,181.0,May,Monday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU486178,33,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,Yes,No,Inbound,72.0,August,Tuesday,2,0.0,Nonexistent,4.966,1.4,93.444,No Sale
CU341049,36,High School Certificate,Unemployed,Divorced,No,No,No,Inbound,59.0,November,Monday,1,0.0,Nonexistent,4.191,-0.1,93.2,No Sale
CU140864,47,Graduate Diploma and Graduate Certificate,Technicians and Trades,Single,No,No,Yes,Outbound,148.0,May,Tuesday,5,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU516157,34,Bachelor Degree Level or Higher,Technicians and Trades,Married,No,No,No,Outbound,222.0,May,Wednesday,1,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU767323,30,High School Certificate,Clerical and administrative,Single,No,No,No,Outbound,142.0,May,Tuesday,1,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU091960,33,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,199.0,May,Wednesday,7,1.0,No Sale,1.334,-1.8,92.893,No Sale
CU347869,30,Primary Education,Labourer,Married,Yes,No,Yes,Inbound,91.0,May,Monday,1,0.0,Nonexistent,1.299,-1.8,92.893,No Sale
CU701905,25,Primary Education,Housekeeper,Married,Yes,No,No,Outbound,263.0,May,Friday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU080297,48,High School Certificate,Clerical and administrative,Single,No,No,No,Inbound,223.0,April,Monday,2,0.0,Nonexistent,1.466,-1.8,93.075,No Sale
CU889732,28,Primary Education,Labourer,Married,Yes,No,No,Inbound,225.0,July,Monday,3,0.0,Nonexistent,4.96,1.4,93.918,No Sale
CU588100,39,High School Certificate,Community and personal service,Divorced,No,No,No,Outbound,81.0,June,Thursday,1,0.0,Nonexistent,4.866,1.4,94.465,No Sale
CU233121,54,Primary Education,Community and personal service,Married,Yes,Yes,No,Inbound,250.0,August,Wednesday,2,0.0,Nonexistent,4.965,1.4,93.444,No Sale
CU030907,31,Primary Education,Labourer,Married,No,No,No,Outbound,397.0,June,Tuesday,2,0.0,Nonexistent,4.864,1.4,94.465,No Sale
CU068197,29,Primary Education,Unemployed,Married,Yes,No,Yes,Inbound,166.0,November,Thursday,3,0.0,Nonexistent,4.076,-0.1,93.2,No Sale
CU557819,39,Bachelor Degree Level or Higher,Technicians and Trades,Married,Yes,No,No,Outbound,241.0,May,Monday,3,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU063271,45,High School Certificate,Clerical and administrative,Married,Yes,No,No,Inbound,33.0,April,Friday,2,0.0,Nonexistent,1.405,-1.8,93.075,No Sale
CU336143,50,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,No,Inbound,1978.0,November,Tuesday,1,0.0,Nonexistent,4.153,-0.1,93.2,Sale
CU019564,30,Bachelor Degree Level or Higher,Clerical and administrative,Single,Yes,Yes,No,Inbound,613.0,July,Wednesday,3,0.0,Nonexistent,4.957,1.4,93.918,No Sale
CU537413,32,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,Yes,No,Inbound,69.0,August,Monday,2,0.0,Nonexistent,4.965,1.4,93.444,No Sale
CU364144,42,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,No,No,Inbound,71.0,August,Friday,1,0.0,Nonexistent,4.963,1.4,93.444,No Sale
CU163562,39,Bachelor Degree Level or Higher,Manager,Married,No,No,No,Inbound,105.0,August,Thursday,1,0.0,Nonexistent,0.873,-2.9,92.201,No Sale
CU076143,42,Graduate Diploma and Graduate Certificate,Technicians and Trades,Married,Yes,No,Yes,Inbound,77.0,July,Monday,3,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU262600,41,Graduate Diploma and Graduate Certificate,Clerical and administrative,Single,No,No,No,Inbound,139.0,August,Monday,6,0.0,Nonexistent,4.965,1.4,93.444,No Sale
CU611087,53,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,Yes,No,Inbound,205.0,July,Wednesday,1,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU001195,20,Primary Education,Labourer,Single,No,No,No,Outbound,36.0,September,Monday,1,0.0,Nonexistent,0.882,-1.1,94.199,No Sale
CU785800,33,Bachelor Degree Level or Higher,Entrepreneur,Married,Yes,Yes,No,Inbound,103.0,July,Monday,3,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU689628,56,Primary Education,Retired,Married,No,No,No,Outbound,55.0,May,Tuesday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU521593,30,High School Certificate,Clerical and administrative,Single,Yes,No,No,Inbound,443.0,July,Tuesday,1,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU546160,57,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,149.0,August,Tuesday,1,1.0,No Sale,0.883,-2.9,92.201,Sale
CU258499,36,Bachelor Degree Level or Higher,Technicians and Trades,Divorced,Yes,No,Yes,Outbound,147.0,May,Tuesday,2,0.0,Nonexistent,4.856,1.1,93.994,No Sale
CU366819,28,Primary Education,Labourer,Married,Yes,No,No,Outbound,282.0,May,Wednesday,1,0.0,Nonexistent,4.859,1.1,93.994,No Sale
CU649082,32,Primary Education,Labourer,Single,No,No,No,Outbound,171.0,May,Friday,1,0.0,Nonexistent,4.864,1.1,93.994,No Sale
CU612107,54,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,Yes,No,Inbound,84.0,July,Friday,5,2.0,No Sale,0.861,-1.7,94.215,No Sale
CU984674,21,Primary Education,Labourer,Single,No,No,No,Inbound,37.0,May,Monday,2,0.0,Nonexistent,1.244,-1.8,92.893,No Sale
CU790992,26,High School Certificate,Student,Single,Yes,No,Yes,Inbound,205.0,May,Tuesday,1,0.0,Nonexistent,1.344,-1.8,92.893,No Sale
CU999969,32,Primary Education,Labourer,Married,No,No,No,Inbound,18.0,May,Friday,1,1.0,No Sale,1.313,-1.8,92.893,No Sale
CU021891,48,High School Certificate,Community and personal service,Married,No,No,No,Inbound,157.0,July,Monday,3,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU827212,38,Bachelor Degree Level or Higher,Technicians and Trades,Married,No,No,No,Inbound,59.0,March,Tuesday,1,0.0,Nonexistent,1.687,-1.8,92.843,No Sale
CU720609,32,Primary Education,Labourer,Married,Yes,No,No,Outbound,47.0,November,Tuesday,1,0.0,Nonexistent,4.153,-0.1,93.2,No Sale
CU084825,51,Primary Education,Labourer,Single,Yes,No,Yes,Outbound,70.0,July,Wednesday,2,0.0,Nonexistent,4.963,1.4,93.918,No Sale
CU801994,32,High School Certificate,Clerical and administrative,Married,Yes,No,No,,323.0,May,Tuesday,2,0.0,Nonexistent,1.344,-1.8,92.893,No Sale
CU130339,43,Primary Education,Housekeeper,Married,No,No,Yes,Inbound,96.0,July,Wednesday,1,0.0,Nonexistent,4.957,1.4,93.918,No Sale
CU048283,41,Graduate Diploma and Graduate Certificate,Technicians and Trades,Single,No,No,No,Outbound,139.0,May,Friday,2,0.0,Nonexistent,4.857,1.1,93.994,No Sale
CU744771,31,High School Certificate,Labourer,Married,No,Yes,No,Inbound,218.0,July,Monday,3,0.0,Nonexistent,4.962,1.4,93.918,No Sale
CU000946,36,High School Certificate,Entrepreneur,Married,No,No,No,Inbound,179.0,May,Tuesday,1,1.0,No Sale,1.344,-1.8,92.893,No Sale
CU553789,36,Bachelor Degree Level or Higher,Technicians and Trades,Married,No,No,No,Outbound,648.0,May,Wednesday,1,0.0,Nonexistent,4.858,1.1,93.994,No Sale
CU312223,47,High School Certificate,Clerical and administrative,Married,Yes,No,No,Inbound,903.0,April,Wednesday,2,1.0,No Sale,1.415,-1.8,93.075,Sale
CU424780,33,High School Certificate,Entrepreneur,Single,Yes,Yes,No,Inbound,328.0,May,Wednesday,2,0.0,Nonexistent,1.334,-1.8,92.893,No Sale
CU625662,47,Prefer not to say,Technicians and Trades,Married,Yes,No,Yes,Inbound,239.0,July,Wednesday,2,0.0,Nonexistent,4.957,1.4,93.918,No Sale
CU972880,40,Primary Education,Labourer,Single,No,No,No,Outbound,121.0,June,Monday,5,0.0,Nonexistent,4.96,1.4,94.465,No Sale
CU980653,38,Primary Education,Technicians and Trades,Married,No,No,No,Inbound,142.0,November,Tuesday,1,0.0,Nonexistent,4.153,-0.1,93.2,No Sale
CU464088,36,Bachelor Degree Level or Higher,Clerical and administrative,Single,No,No,No,Inbound,18.0,July,Thursday,40,0.0,Nonexistent,4.968,1.4,93.918,No Sale
CU667862,38,High School Certificate,Clerical and administrative,Married,Yes,No,No,Inbound,247.0,May,Friday,4,0.0,Nonexistent,1.313,-1.8,92.893,No Sale
CU667783,37,Bachelor Degree Level or Higher,Technicians and Trades,Married,No,No,No,Outbound,263.0,May,Thursday,4,0.0,Nonexistent,4.86,1.1,93.994,No Sale
CU785669,38,Primary Education,Labourer,Single,No,Yes,No,Inbound,222.0,May,Wednesday,2,1.0,No Sale,1.281,-1.8,92.893,No Sale
CU139592,32,Bachelor Degree Level or Higher,Clerical and administrative,Married,Yes,No,No,Inbound,80.0,August,Wednesday,2,0.0,Nonexistent,0.854,-2.9,92.201,No Sale
CU044236,49,Bachelor Degree Level or Higher,Manager,Married,No,No,No,Inbound,1036.0,November,Friday,2,0.0,Nonexistent,4.021,-0.1,93.2,No Sale
CU859045,29,Graduate Diploma and Graduate Certificate,Clerical and administrative,Single,No,No,No,Inbound,427.0,April,Thursday,3,0.0,Nonexistent,1.365,-1.8,93.075,Sale
CU735875,38,Bachelor Degree Level or Higher,Clerical and administrative,Married,No,No,No,Inbound,182.0,November,Tuesday,2,1.0,Sale,0.715,-3.4,92.649,Sale
CU853414,53,High School Certificate,Clerical and administrative,Married,Yes,No,No,Outbound,520.0,May,Tuesday,1,0.0,Nonexistent,4.856,1.1,93.994,No Sale
